PLU_ID,Park,Class,Subtype,PLU Display Name,Units,Revenue,P/C,2024 Product
109598,SWF,Pass,Silver,SWF Silver Pass Voucher Adult,7,1225.0,175.0,1-Park Silver Pass
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,14,2379.86,169.99,LOS
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,33,3129.29,94.8269696969697,Intended Day SDT
109622,SWF,Pass,Silver,BGT/SWF Silver Pass Voucher Adult,6,1320.0,220.0,2-Park Silver Pass
114338,SWF,Pass,Silver,APO/BGT/SWF 1 Year Voucher Passport,9,2268.0,252.0,4-Park Silver Pass
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,1,192.0,192.0,2-Park Silver Pass
142662,SWF,Pass,Silver,APO/SWF 15 Month Pass Renewal Voucher Adult,4,720.0,180.0,2-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,49,5185.95,105.83571428571427,Intended Day SDT + ADD
142648,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Adult,0,4.0,,2-Park Silver Pass
156785,SWF,SDT,Consumer Direct,SWF Only 1 Day Advanced non-CYA 3+,3,239.97,79.99,Intended Day SDT
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,584,46714.16,79.99000000000001,Intended Day SDT
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,2,310.0,155.0,1-Park Silver Pass
142620,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Senior,2,294.0,147.0,1-Park Silver Pass
132226,SWF,Pass,Platinum,Florida 1 Year Platinum Voucher,6,2016.0,336.0,Platinum Pass
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,8,1415.92,176.99,2-Park Fun Card
114330,SWF,Pass,Silver,APO/SWF 1 Year Pass Voucher,3,600.0,200.0,2-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,123,14758.77,119.99,2-Park 2-Day Ticket
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,58,5620.23,96.90051724137932,1-Park Fun Card
109598,SWF,Pass,Silver,SWF Silver Pass Voucher Adult,15,2518.51,167.90066666666667,1-Park Silver Pass
142648,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Adult,8,1600.0,200.0,2-Park Silver Pass
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,2,384.0,192.0,2-Park Silver Pass
-1,SWF,MDT/MPT,Consumer Direct,Unknown,258,9835.48,38.12201550387597,Not Sure
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,4,620.0,155.0,1-Park Silver Pass
152501,SWF,MDT/MPT,Consumer Direct,APO/SWF SeaWorld and Aquatica Orlando for DCO Affl,-4,-156.0,39.0,Ignore
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,53,5829.47,109.99,Intended Day SDT + ADD
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,444,35515.56,79.99,Intended Day SDT
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,10,1769.9,176.99,2-Park Fun Card
114330,SWF,Pass,Silver,APO/SWF 1 Year Pass Voucher,2,400.0,200.0,2-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,98,11759.02,119.99,2-Park 2-Day Ticket
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,44,4399.56,99.99000000000001,1-Park Fun Card
142671,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Renewal Voucher Adult,1,232.0,232.0,4-Park Silver Pass
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,9,1529.91,169.99,LOS
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,17,1699.83,99.99,Intended Day SDT
109622,SWF,Pass,Silver,BGT/SWF Silver Pass Voucher Adult,9,1980.0,220.0,2-Park Silver Pass
131674,SWF,Pass,Silver,SWF 15 Month Pass Voucher Adult,-1,-168.0,168.0,1-Park Silver Pass
